"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2309-NODE/8197425145","","Café Sed","35.447078","-5.39368","","","0","","","","0","",""
"2309-NODE/8197425144","","Barrage Nakhla","35.451157","-5.39642","","","0","","","","0","",""
"2309-NODE/8197425147","","Enissar Joue","35.434666","-5.391051","","","0","","","","0","",""
"2309-NODE/8197425146","","Café Ayad","35.43986","-5.390919","","","0","","","","0","",""
"2309-NODE/8196235920","","Casablanca 2","35.565229","-5.356535","","","0","","","","0","",""
"2309-NODE/6899167636","","Zinat","35.470403","-5.402961","","","0","","","","0","",""
"2309-NODE/6897143977","","Dalia","35.627468","-5.281391","","","0","","","","0","",""
"2309-NODE/6899167639","","Barrage Martil","35.48685","-5.420065","","","0","","","","0","",""
"2309-NODE/8154841013","","9 Avril","35.583209","-5.332224","","","0","","","","0","",""
"2309-NODE/4613737391","","Lycée Jaber Ibnou Hayane","35.569629","-5.383448","","","0","","","","0","",""
"2309-NODE/566450850","","Gare Routière","35.560486","-5.371018","","","0","","","","0","",""
"2309-NODE/6904008880","","Jamaa Mezouak","35.57396","-5.3962","","","0","","","","0","",""
"2309-NODE/6904040664","","Kaboul - Tekniya","35.575332","-5.349415","","","0","","","","0","",""
"2309-NODE/6904040661","","Wilaya","35.589811","-5.338175","","","0","","","","0","",""
"2309-NODE/6898279955","","La Paloma","35.565304","-5.412072","","","0","","","","0","",""
"2309-NODE/6899394734","","El Contro","35.429498","-5.117541","","","0","","","","0","",""
"2309-NODE/6898279952","","Lafarge","35.59856","-5.481817","","","0","","","","0","",""
"2309-NODE/6906735239","","El Manar","35.559332","-5.500544","","","0","","","","0","",""
"2309-NODE/6898503413","","Mosquée El Kabdani","35.576686","-5.410808","","","0","","","","0","",""
"2309-NODE/8191086261","","Dar Zkiek","35.547759","-5.398324","","","0","","","","0","",""
"2309-NODE/8191086260","","Rommana","35.565477","-5.392411","","","0","","","","0","",""
